20231204	10:43:07	9138530b-9416-4ba2-af86-49d1e84c1e33	GET	undefined	/css/style.css
20231204	10:43:07	c2764156-5200-402f-a70c-edc9ac9aebb0	GET	undefined	/img/img1.jpg
20231204	10:43:23	21b4cb08-5b99-4b7b-8c56-eeadb7efe430	GET	undefined	/new-page
20231204	10:43:23	a01ede92-dd59-4a83-9742-c28aac40b80c	GET	undefined	/css/style.css
20231204	10:43:23	737e9a78-4c85-4be1-b2ca-d8d26d55c101	GET	undefined	/img/img1.jpg
20231204	10:43:23	1104a3d1-0bd1-4c7a-853f-d49d975b50cf	GET	undefined	/new-page
20231204	10:43:23	4e662a2f-face-4e67-a467-35772058390e	GET	undefined	/css/style.css
20231204	10:43:23	58d82a7d-a3ab-47eb-b1c2-fa2bfc66fea9	GET	undefined	/img/img1.jpg
20231204	10:43:24	1a385536-0e92-4787-b67b-cec450422b98	GET	undefined	/new-page
20231204	10:43:24	e9844ff9-8bbe-4414-9afe-8b5286d4ee87	GET	undefined	/css/style.css
20231204	10:43:24	0c838e24-e012-431b-ae31-8ad773adc2ad	GET	undefined	/img/img1.jpg
20231204	10:43:24	66cc9871-2e4b-47e9-95ac-9f23e01cb7a2	GET	undefined	/new-page
20231204	10:43:24	9f1e0e93-284b-449d-a6ce-663f2b37a821	GET	undefined	/css/style.css
20231204	10:43:24	b5ebf7b7-1924-4fb8-8487-67aa65d012ae	GET	undefined	/img/img1.jpg
20231204	10:43:24	f1efec66-7755-4de2-8c85-f53ed9df1406	GET	undefined	/new-page
20231204	10:43:24	ca5822a3-9e20-4637-835b-c9f45dbd1d4e	GET	undefined	/css/style.css
20231204	10:43:24	fdefef39-f1ec-4975-a66f-6bf349b578e4	GET	undefined	/img/img1.jpg
20231204	10:46:22	9bceb8d7-6775-407a-8a84-327323b4f4a3	GET	undefined	/new-page
20231204	10:46:22	f4058ea6-361e-4266-ad67-3b87949384cc	GET	undefined	/css/style.css
20231204	10:46:22	849ff3f0-a880-47ce-ac98-2e9793dabe2e	GET	undefined	/img/img1.jpg
20231204	10:46:22	08bbd385-d81f-48fe-96b1-83056c5796ee	GET	undefined	/new-page
20231204	10:46:22	78e5d02f-a715-4b4e-a760-fdd7cd3b6591	GET	undefined	/css/style.css
20231204	10:46:22	be90d179-5489-46dd-b0d3-6e0da5f3e33d	GET	undefined	/img/img1.jpg
20231204	10:46:23	b2a548ef-7c89-4694-b0d9-353f3b779fa1	GET	undefined	/new-page
20231204	10:46:23	dda04f53-ffd9-4dbf-bc2a-8fe56d7e6c61	GET	undefined	/css/style.css
20231204	10:46:23	c6233bbf-b65d-4605-a2d5-2c36b83d2f94	GET	undefined	/img/img1.jpg
20231204	10:46:23	9c35e95b-05fa-4389-a3f3-37e85fa7d088	GET	undefined	/new-page
20231204	10:46:23	17ef814b-d261-483d-91c0-2073288ed2f1	GET	undefined	/css/style.css
20231204	10:46:23	ab956480-1f26-488d-a38e-41321972b12e	GET	undefined	/img/img1.jpg
20231204	10:46:23	2fed4131-e85f-424b-98e7-ebae8ab5d09c	GET	undefined	/new-page
20231204	10:46:23	72285772-8eb0-488f-8faf-eea6112fb21a	GET	undefined	/css/style.css
20231204	10:46:23	6ec299bf-b1de-4d3f-8ef4-4d80d825885a	GET	undefined	/img/img1.jpg
20231204	10:46:23	8176316f-b138-4c90-a2f3-4f6e463243a4	GET	undefined	/new-page
20231204	10:46:23	1ec95f82-b1f5-445b-aa67-87802cf11739	GET	undefined	/css/style.css
20231204	10:46:23	ddecb0d2-f06a-4232-a624-b65e59b6b2d0	GET	undefined	/img/img1.jpg
20231204	10:46:28	78ba1733-1b62-4fc6-83bf-83a2152e3b18	GET	undefined	/
20231204	10:46:28	91f42970-5c72-4efc-a18e-ee76167a46a7	GET	undefined	/css/style.css
20231204	10:47:41	2f478d92-16a1-41f6-aaa0-82da7ef3a60e	GET	undefined	/
20231204	10:47:41	a8884c14-6104-4778-a01a-f6dff556c87a	GET	undefined	/css/style.css
20231204	10:47:41	0372dffb-1f30-4b2f-bb03-ddbf54f4dc86	GET	undefined	/
20231204	10:47:41	06c8195b-6791-42cf-aac0-92443e6c4c4d	GET	undefined	/css/style.css
20231204	10:47:42	cba3ef41-8587-423d-880e-3d16b8c1434a	GET	undefined	/
20231204	10:47:42	cedbd819-7032-43ad-ab4e-be07ef3cf49e	GET	undefined	/css/style.css
20231204	10:47:42	cdc26029-030a-4ca6-bc79-5e388974a571	GET	undefined	/
20231204	10:47:42	b1d76e80-c4a5-4954-9621-474b0ae9c7dd	GET	undefined	/css/style.css
20231204	10:47:42	57cf4633-00e1-4525-8a42-bafb68592b58	GET	undefined	/
20231204	10:47:42	1020c295-2ee6-43de-b53e-924d585b05f3	GET	undefined	/css/style.css
20231204	10:47:42	4341515a-c4e9-4f4f-9437-b67cb779d350	GET	undefined	/
20231204	10:47:42	14534573-f65c-4ad2-83a8-aadfba54c140	GET	undefined	/css/style.css
20231204	10:57:01	1d498a3c-c315-467e-8a5a-bfadf56ac098	GET	undefined	/
20231204	10:57:01	3d463fb8-883a-45e7-9c8b-469c3fd9333c	GET	undefined	/css/style.css
20231204	11:21:36	06f06d5a-43ed-4874-addd-ac4557a5198b	GET	undefined	/new-page.html
20231204	11:21:36	7ba7e40d-329b-4bd8-917e-918681aa43e9	GET	undefined	/img/img1.jpg
20231204	11:21:36	31a85ff2-b884-4d1b-8e13-6d62470e2404	GET	undefined	/css/style.css
20231204	11:21:44	b8c609df-5f5c-499a-8a39-530aa06576a3	GET	undefined	/new-page
20231204	11:21:44	2c1d6247-2020-47e5-a3b7-9e0055e23b3e	GET	undefined	/css/style.css
20231204	11:21:44	3f469d06-b589-4d48-8f1a-773d68a61736	GET	undefined	/img/img1.jpg
20231204	11:55:07	30fb4e25-47e4-43f1-95fe-80a136d976f4	GET	undefined	/employees
20231204	11:56:11	2e844934-8d51-46da-b9a4-cc7c927716a7	POST	undefined	/employees
20231204	11:57:11	b3ea679d-b8c6-4b3d-91f0-7d6fd73bc542	POST	undefined	/employees
20231204	11:58:30	68a8b2f6-6be7-4642-bf3d-9ed558fac071	PUT	undefined	/employees
20231204	14:58:58	da294ab3-b03f-409a-88a2-35b77f2f033b	GET	undefined	/new-page
20231204	14:58:58	9d61b41e-1edd-4e23-84d5-3c2fa9a21015	GET	undefined	/css/style.css
20231204	14:58:58	953911a9-135f-491e-8733-95c235836578	GET	undefined	/img/img1.jpg
20231204	15:00:43	30e30e1e-9a34-4640-9f46-59a19ff75b42	GET	undefined	/new-page
20231204	15:00:43	e72a9452-e2b8-4607-b3bd-f530b81ff697	GET	undefined	/css/style.css
20231204	15:00:44	497c569c-6f3e-4a1c-960e-416ef3f4a730	GET	undefined	/new-page
20231204	15:00:44	3cdcd60b-4540-447a-a21c-76170f99314c	GET	undefined	/css/style.css
20231204	15:00:46	53dde08f-d5d6-4e7c-b110-6bc0044adf69	GET	undefined	/
20231204	15:00:46	d8c151b7-4b2e-4fc9-906c-edc929427ebd	GET	undefined	/css/style.css
20231204	15:50:43	8991812b-09a2-4e63-a9a1-749e7a71d8ea	GET	undefined	/
20231204	15:50:43	799cf2b4-4b34-41a7-83c7-46f9844d5aed	GET	undefined	/css/style.css
20231204	15:50:52	e3a26922-a3ea-486d-ba31-9c0f74b8b056	GET	undefined	/l
20231204	15:50:52	e89a56cc-d4ae-4dba-8147-87d2e0161273	GET	undefined	/css/style.css
20231204	15:51:51	f46f3ff3-fdf0-4c61-bf68-b6a75cb662d6	GET	undefined	/employees
20231204	15:52:05	369662a3-f41a-4e45-819d-89bc174a3da9	POST	undefined	/employees
20231204	15:52:41	beb4c1c5-cdaf-4021-a2fe-220087bce46f	PUT	undefined	/employees
20231204	15:52:57	f84b95e2-e9fb-4ad3-89b3-1aa93427c209	PUT	undefined	/employees
20231204	15:53:04	0156fcd6-991e-4a13-b6d8-54ea6a0832da	PUT	undefined	/employees
20231204	15:53:15	a27dfe07-1060-4cb5-939c-cd00ebdfadc8	PUT	undefined	/employees
20231204	15:53:44	33927ffb-53a9-4edf-995c-2a56e359e887	GET	undefined	/employees
20231204	15:57:10	ab6dcd65-2b3f-4b01-ada3-4f61380ea541	PUT	undefined	/employees
20231204	15:57:53	52e1fe28-4c36-4227-be42-03026fd9f9c3	PUT	undefined	/employees
